"기준일","요일","시군구","연령대","성별","통화건수"
20170203,"금","동대문구","20대","남",74
20170203,"금","동대문구","20대","여",41
20170203,"금","동대문구","30대","남",54
20170203,"금","동대문구","30대","여",93
20170203,"금","동대문구","40대","남",63
20170203,"금","동대문구","40대","여",78
20170203,"금","동대문구","50대","남",23
20170203,"금","동대문구","50대","여",28
20170203,"금","동대문구","60대이상","남",15
20170203,"금","동대문구","60대이상","여",16
20170203,"금","동작구","10대","남",29
20170203,"금","동작구","10대","여",29
20170203,"금","동작구","20대","남",47
20170203,"금","동작구","20대","여",39
20170203,"금","동작구","30대","남",55
20170203,"금","동작구","30대","여",53
20170203,"금","동작구","40대","남",35
20170203,"금","동작구","40대","여",50
20170203,"금","동작구","50대","남",30
20170203,"금","동작구","50대","여",25
20170203,"금","동작구","60대이상","남",14
20170203,"금","동작구","60대이상","여",26
20170203,"금","마포구","10대","남",40
20170203,"금","마포구","10대","여",29
20170203,"금","마포구","20대","남",88
20170203,"금","마포구","20대","여",64
20170203,"금","마포구","30대","남",99
20170203,"금","마포구","30대","여",121
